	Group	Bray_Curtis_distances	Value				Group	Bray_Curtis_distances	Value				Group	Bray_Curtis_distances	Value
69	Fiber	D13	0.981860298			69	Fat	D13	0.976901198			69	Normal	D13	0.508412875
70	Fiber	D13	0.945658397			70	Fat	D13	0.941664497			70	Normal	D13	0.500937
71	Fiber	D13	0.952991202			71	Fat	D13	0.903226105			71	Normal	D13	0.413815659
72	Fiber	D13	0.895122621			72	Fat	D13	0.903783719			72	Normal	D13	0.624421394
73	Fiber	D14	0.877791924			73	Fat	D14	0.8765367			73	Normal	D14	0.700362315
74	Fiber	D14	0.869864926			74	Fat	D14	0.7606431			74	Normal	D14	0.567694422
75	Fiber	D14	0.966106208			75	Fat	D14	0.946444303			75	Normal	D14	0.753505825
76	Fiber	D14	0.865412034			76	Fat	D14	0.890873905			76	Normal	D14	0.743720626
77	Fiber	D14	0.826309152			77	Fat	D14	0.737698626			77	Normal	D14	0.441017984
78	Fiber	D14	0.87916083			78	Fat	D14	0.829093509			78	Normal	D14	0.663858034
79	Fiber	D14	0.911877104			79	Fat	D14	0.847244608			79	Normal	D14	0.293015965
80	Fiber	D14	0.897628705			80	Fat	D14	0.842526508			80	Normal	D14	0.322086066
81	Fiber	D14	0.967860903			81	Fat	D14	0.951441805			81	Normal	D14	0.440991
82	Fiber	D14	0.906558209			82	Fat	D14	0.861196014			82	Normal	D14	0.2957628
83	Fiber	D14	0.901118515			83	Fat	D14	0.788150032			83	Normal	D14	0.583136021
84	Fiber	D14	0.905099109			84	Fat	D14	0.857637714			84	Normal	D14	0.3302332
85	Fiber	D14	0.911880596			85	Fat	D14	0.8187242			85	Normal	D14	0.40135957
86	Fiber	D14	0.896786495			86	Fat	D14	0.8337145			86	Normal	D14	0.39423387
87	Fiber	D14	0.9692727			87	Fat	D14	0.923303804			87	Normal	D14	0.4577257
88	Fiber	D14	0.8883354			88	Fat	D14	0.826051909			88	Normal	D14	0.4334945
89	Fiber	D14	0.911789904			89	Fat	D14	0.761276324			89	Normal	D14	0.552128322
90	Fiber	D14	0.9003384			90	Fat	D14	0.836581408			90	Normal	D14	0.4066385
91	Fiber	D14	0.900690005			91	Fat	D14	0.850614322			91	Normal	D14	0.304468035
92	Fiber	D14	0.900159705			92	Fat	D14	0.812454028			92	Normal	D14	0.233009738
93	Fiber	D14	0.944992806			93	Fat	D14	0.938406012			93	Normal	D14	0.374735563
94	Fiber	D14	0.894750211			94	Fat	D14	0.85088753			94	Normal	D14	0.164009684
95	Fiber	D14	0.901460515			95	Fat	D14	0.795794851			95	Normal	D14	0.549641268
96	Fiber	D14	0.89963581			96	Fat	D14	0.85009203			96	Normal	D14	0.136383486
97	Fiber	D14	0.911590387			97	Fat	D14	0.845180008			97	Normal	D14	0.362954936
98	Fiber	D14	0.86381888			98	Fat	D14	0.784609511			98	Normal	D14	0.229127423
99	Fiber	D14	0.964125496			99	Fat	D14	0.939538306			99	Normal	D14	0.458606473
100	Fiber	D14	0.885648489			100	Fat	D14	0.847499015			100	Normal	D14	0.238496362
101	Fiber	D14	0.906833095			101	Fat	D14	0.756465137			101	Normal	D14	0.5991
102	Fiber	D14	0.89857739			102	Fat	D14	0.819839118			102	Normal	D14	0.19649856
103	Fiber	D14	0.952239			103	Fat	D14	0.861725307			103	Normal	D14	0.335413967
104	Fiber	D14	0.9061423			104	Fat	D14	0.831239008			104	Normal	D14	0.290592765
105	Fiber	D14	0.970381701			105	Fat	D14	0.955021404			105	Normal	D14	0.1878846
106	Fiber	D14	0.940130803			106	Fat	D14	0.873755513			106	Normal	D14	0.3807922
107	Fiber	D14	0.944830506			107	Fat	D14	0.813468628			107	Normal	D14	0.478932626
108	Fiber	D14	0.938180903			108	Fat	D14	0.869538013			108	Normal	D14	0.333935
109	Fiber	D21	0.959181808			109	Fat	D21	0.885839223			109	Normal	D21	0.668352166
110	Fiber	D21	0.8709129			110	Fat	D21	0.7141148			110	Normal	D21	0.4479107
111	Fiber	D21	0.971082703			111	Fat	D21	0.943816406			111	Normal	D21	0.709424529
112	Fiber	D21	0.9594203			112	Fat	D21	0.8825344			112	Normal	D21	0.6736208
113	Fiber	D21	0.9300288			113	Fat	D21	0.8215952			113	Normal	D21	0.4555005
114	Fiber	D21	0.940578488			114	Fat	D21	0.840294768			114	Normal	D21	0.530026306
115	Fiber	D21	0.87920943			115	Fat	D21	0.860292021			115	Normal	D21	0.211604279
116	Fiber	D21	0.892877405			116	Fat	D21	0.80508479			116	Normal	D21	0.390272739
117	Fiber	D21	0.93369261			117	Fat	D21	0.929969804			117	Normal	D21	0.4546879
118	Fiber	D21	0.898066405			118	Fat	D21	0.880551294			118	Normal	D21	0.252698825
119	Fiber	D21	0.888312906			119	Fat	D21	0.831864492			119	Normal	D21	0.438942544
120	Fiber	D21	0.876366081			120	Fat	D21	0.822519356			120	Normal	D21	0.23281137
121	Fiber	D21	0.822669853			121	Fat	D21	0.832580825			121	Normal	D21	0.358244528
122	Fiber	D21	0.830541817			122	Fat	D21	0.817034891			122	Normal	D21	0.3198899
123	Fiber	D21	0.89977122			123	Fat	D21	0.893173205			123	Normal	D21	0.460326654
124	Fiber	D21	0.831674117			124	Fat	D21	0.837162892			124	Normal	D21	0.3940853
