"consensus_lin","EdgeBetweenness","eweight","interaction","name","selected","shared interaction","shared name"
"Bacteroides_dorei","0.0","0.0","interacts with","Bacteroides_dorei (interacts with) Bacteroides_dorei","false","interacts with","Bacteroides_dorei (interacts with) Bacteroides_dorei"
"Acutalibacter_muris","0.0","0.0","interacts with","Acutalibacter_muris (interacts with) Acutalibacter_muris","false","interacts with","Acutalibacter_muris (interacts with) Acutalibacter_muris"
"Actinomyces_urogenitalis","0.0","0.0","interacts with","Actinomyces_urogenitalis (interacts with) Actinomyces_urogenitalis","false","interacts with","Actinomyces_urogenitalis (interacts with) Actinomyces_urogenitalis"
"Acinetobacter_baumannii","0.0","0.0","interacts with","Acinetobacter_baumannii (interacts with) Acinetobacter_baumannii","false","interacts with","Acinetobacter_baumannii (interacts with) Acinetobacter_baumannii"
"Acetatifactor_muris","0.0","0.0","interacts with","Acetatifactor_muris (interacts with) Acetatifactor_muris","false","interacts with","Acetatifactor_muris (interacts with) Acetatifactor_muris"
"Aerococcaceae_bacterium","8.0","0.6695953","interacts with","Aerococcaceae_bacterium (interacts with) Staphylococcus_nepalensis","false","interacts with","Aerococcaceae_bacterium (interacts with) Staphylococcus_nepalensis"
"Aerococcaceae_bacterium","8.0","0.719194952","interacts with","Aerococcaceae_bacterium (interacts with) Staphylococcus_lentus","false","interacts with","Aerococcaceae_bacterium (interacts with) Staphylococcus_lentus"
"Lachnospiraceae_bacterium_10_1","3.3333333333333335","0.719194952","interacts with","Lachnospiraceae_bacterium_10_1 (interacts with) Staphylococcus_xylosus","false","interacts with","Lachnospiraceae_bacterium_10_1 (interacts with) Staphylococcus_xylosus"
"Lachnospiraceae_bacterium_10_1","6.333333333333332","0.719194952","interacts with","Lachnospiraceae_bacterium_10_1 (interacts with) Staphylococcus_nepalensis","false","interacts with","Lachnospiraceae_bacterium_10_1 (interacts with) Staphylococcus_nepalensis"
"Lachnospiraceae_bacterium_10_1","6.333333333333332","0.6695953","interacts with","Lachnospiraceae_bacterium_10_1 (interacts with) Staphylococcus_lentus","false","interacts with","Lachnospiraceae_bacterium_10_1 (interacts with) Staphylococcus_lentus"
"Enterococcus_gallinarum","3.333333333333333","0.719194952","interacts with","Enterococcus_gallinarum (interacts with) Staphylococcus_xylosus","false","interacts with","Enterococcus_gallinarum (interacts with) Staphylococcus_xylosus"
"Enterococcus_gallinarum","6.333333333333333","0.719194952","interacts with","Enterococcus_gallinarum (interacts with) Staphylococcus_nepalensis","false","interacts with","Enterococcus_gallinarum (interacts with) Staphylococcus_nepalensis"
"Enterococcus_gallinarum","6.333333333333333","0.6695953","interacts with","Enterococcus_gallinarum (interacts with) Staphylococcus_lentus","false","interacts with","Enterococcus_gallinarum (interacts with) Staphylococcus_lentus"
"Staphylococcus_xylosus","5.0","0.5","interacts with","Staphylococcus_xylosus (interacts with) Staphylococcus_nepalensis","false","interacts with","Staphylococcus_xylosus (interacts with) Staphylococcus_nepalensis"
"Staphylococcus_xylosus","5.0","0.46313912","interacts with","Staphylococcus_xylosus (interacts with) Staphylococcus_lentus","false","interacts with","Staphylococcus_xylosus (interacts with) Staphylococcus_lentus"
"Staphylococcus_xylosus","3.3333333333333335","0.719194952","interacts with","Staphylococcus_xylosus (interacts with) Staphylococcus_aureus","false","interacts with","Staphylococcus_xylosus (interacts with) Staphylococcus_aureus"
"Oscillibacter_sp_1_3","43.56868686868687","0.47911528","interacts with","Oscillibacter_sp_1_3 (interacts with) Lachnospiraceae_bacterium_28_4","false","interacts with","Oscillibacter_sp_1_3 (interacts with) Lachnospiraceae_bacterium_28_4"
"Staphylococcus_lentus","6.333333333333333","0.6695953","interacts with","Staphylococcus_lentus (interacts with) Staphylococcus_aureus","false","interacts with","Staphylococcus_lentus (interacts with) Staphylococcus_aureus"
"Staphylococcus_lentus","8.0","0.719194952","interacts with","Staphylococcus_lentus (interacts with) Jeotgalicoccus_halotolerans","false","interacts with","Staphylococcus_lentus (interacts with) Jeotgalicoccus_halotolerans"
"Staphylococcus_lentus","8.0","0.719194952","interacts with","Staphylococcus_lentus (interacts with) Corynebacterium_stationis","false","interacts with","Staphylococcus_lentus (interacts with) Corynebacterium_stationis"
"Staphylococcus_nepalensis","2.0","0.997621879","interacts with","Staphylococcus_nepalensis (interacts with) Staphylococcus_lentus","false","interacts with","Staphylococcus_nepalensis (interacts with) Staphylococcus_lentus"
"Staphylococcus_nepalensis","6.333333333333333","0.719194952","interacts with","Staphylococcus_nepalensis (interacts with) Staphylococcus_aureus","false","interacts with","Staphylococcus_nepalensis (interacts with) Staphylococcus_aureus"
"Staphylococcus_nepalensis","8.0","0.6695953","interacts with","Staphylococcus_nepalensis (interacts with) Jeotgalicoccus_halotolerans","false","interacts with","Staphylococcus_nepalensis (interacts with) Jeotgalicoccus_halotolerans"
"Staphylococcus_nepalensis","8.0","0.6695953","interacts with","Staphylococcus_nepalensis (interacts with) Corynebacterium_stationis","false","interacts with","Staphylococcus_nepalensis (interacts with) Corynebacterium_stationis"
"Faecalibaculum_rodentium","90.0","-0.41557414","interacts with","Faecalibaculum_rodentium (interacts with) Clostridium_symbiosum","false","interacts with","Faecalibaculum_rodentium (interacts with) Clostridium_symbiosum"
"Clostridium_sp_ASF502","36.05770308123249","0.444638374","interacts with","Clostridium_sp_ASF502 (interacts with) Clostridium_sp_ASF356","false","interacts with","Clostridium_sp_ASF502 (interacts with) Clostridium_sp_ASF356"
