"consensus_lin","EdgeBetweenness","eweight","interaction","name","selected","shared interaction","shared name"
"Parabacteroides_johnsonii","23.6024531024531","0.447048538","interacts with","Parabacteroides_johnsonii (interacts with) Bacteroides_sartorii","false","interacts with","Parabacteroides_johnsonii (interacts with) Bacteroides_sartorii"
"Parabacteroides_johnsonii","10.743650793650794","0.424360815","interacts with","Parabacteroides_johnsonii (interacts with) Alistipes_shahii","false","interacts with","Parabacteroides_johnsonii (interacts with) Alistipes_shahii"
"Turicimonas_muris","30.025613275613274","0.6700581","interacts with","Turicimonas_muris (interacts with) Parabacteroides_johnsonii","false","interacts with","Turicimonas_muris (interacts with) Parabacteroides_johnsonii"
"Turicimonas_muris","58.462121212121225","-0.500659196","interacts with","Turicimonas_muris (interacts with) Oscillibacter_sp_1_3","false","interacts with","Turicimonas_muris (interacts with) Oscillibacter_sp_1_3"
"Turicimonas_muris","50.17279942279944","-0.500659196","interacts with","Turicimonas_muris (interacts with) Lachnospiraceae_bacterium_3_2","false","interacts with","Turicimonas_muris (interacts with) Lachnospiraceae_bacterium_3_2"
"Turicimonas_muris","34.54617604617605","-0.445146199","interacts with","Turicimonas_muris (interacts with) Clostridium_cocleatum","false","interacts with","Turicimonas_muris (interacts with) Clostridium_cocleatum"
"Turicimonas_muris","18.110461760461757","0.601165181","interacts with","Turicimonas_muris (interacts with) Butyricimonas_virosa","false","interacts with","Turicimonas_muris (interacts with) Butyricimonas_virosa"
"Turicimonas_muris","33.93333333333334","-0.497714997","interacts with","Turicimonas_muris (interacts with) Anaerotruncus_sp_G3_2012","false","interacts with","Turicimonas_muris (interacts with) Anaerotruncus_sp_G3_2012"
"Turicimonas_muris","33.92005772005771","0.416411262","interacts with","Turicimonas_muris (interacts with) Alistipes_shahii","false","interacts with","Turicimonas_muris (interacts with) Alistipes_shahii"
"Lactobacillus_taiwanensis","9.862987012987013","0.69181258","interacts with","Lactobacillus_taiwanensis (interacts with) Lactobacillus_reuteri","false","interacts with","Lactobacillus_taiwanensis (interacts with) Lactobacillus_reuteri"
"Lactobacillus_taiwanensis","25.97142857142856","-0.640119598","interacts with","Lactobacillus_taiwanensis (interacts with) Bacteroides_thetaiotaomicron","false","interacts with","Lactobacillus_taiwanensis (interacts with) Bacteroides_thetaiotaomicron"
"Lactobacillus_taiwanensis","25.211832611832612","-0.411721651","interacts with","Lactobacillus_taiwanensis (interacts with) Bacteroides_stercorirosoris","false","interacts with","Lactobacillus_taiwanensis (interacts with) Bacteroides_stercorirosoris"
"Lactobacillus_taiwanensis","23.123376623376622","-0.438943355","interacts with","Lactobacillus_taiwanensis (interacts with) Bacteroides_caecimuris","false","interacts with","Lactobacillus_taiwanensis (interacts with) Bacteroides_caecimuris"
"Lactobacillus_taiwanensis","32.931240981240975","0.546322505","interacts with","Lactobacillus_taiwanensis (interacts with) Alistipes_indistinctus","false","interacts with","Lactobacillus_taiwanensis (interacts with) Alistipes_indistinctus"
"Desulfovibrionaceae_bacterium","52.44935064935065","0.581409041","interacts with","Desulfovibrionaceae_bacterium (interacts with) Turicimonas_muris","false","interacts with","Desulfovibrionaceae_bacterium (interacts with) Turicimonas_muris"
"Desulfovibrionaceae_bacterium","38.43253968253968","0.511636114","interacts with","Desulfovibrionaceae_bacterium (interacts with) Parabacteroides_johnsonii","false","interacts with","Desulfovibrionaceae_bacterium (interacts with) Parabacteroides_johnsonii"
"Desulfovibrionaceae_bacterium","52.064075630252105","0.493924623","interacts with","Desulfovibrionaceae_bacterium (interacts with) Mucispirillum_schaedleri","false","interacts with","Desulfovibrionaceae_bacterium (interacts with) Mucispirillum_schaedleri"
"Desulfovibrionaceae_bacterium","65.4455182072829","0.438389135","interacts with","Desulfovibrionaceae_bacterium (interacts with) Clostridium_sp_ASF502","false","interacts with","Desulfovibrionaceae_bacterium (interacts with) Clostridium_sp_ASF502"
"Desulfovibrionaceae_bacterium","97.04848484848483","0.494474312","interacts with","Desulfovibrionaceae_bacterium (interacts with) Clostridium_sp_ASF356","false","interacts with","Desulfovibrionaceae_bacterium (interacts with) Clostridium_sp_ASF356"
"Desulfovibrionaceae_bacterium","38.20336134453782","0.655177196","interacts with","Desulfovibrionaceae_bacterium (interacts with) Butyricimonas_virosa","false","interacts with","Desulfovibrionaceae_bacterium (interacts with) Butyricimonas_virosa"
"Desulfovibrionaceae_bacterium","43.910185892538834","0.446866813","interacts with","Desulfovibrionaceae_bacterium (interacts with) Bacteroides_sartorii","false","interacts with","Desulfovibrionaceae_bacterium (interacts with) Bacteroides_sartorii"
"Desulfovibrionaceae_bacterium","48.62735760971054","0.465016481","interacts with","Desulfovibrionaceae_bacterium (interacts with) Bacteroides_faecichinchillae","false","interacts with","Desulfovibrionaceae_bacterium (interacts with) Bacteroides_faecichinchillae"
"Desulfovibrionaceae_bacterium","25.995424836601305","0.518702545","interacts with","Desulfovibrionaceae_bacterium (interacts with) Alistipes_shahii","false","interacts with","Desulfovibrionaceae_bacterium (interacts with) Alistipes_shahii"
"Desulfovibrionaceae_bacterium","46.799651982004924","0.510800944","interacts with","Desulfovibrionaceae_bacterium (interacts with) Alistipes_indistinctus","false","interacts with","Desulfovibrionaceae_bacterium (interacts with) Alistipes_indistinctus"
"Alistipes_shahii","20.545238095238094","0.490597273","interacts with","Alistipes_shahii (interacts with) Bacteroides_uniformis","false","interacts with","Alistipes_shahii (interacts with) Bacteroides_uniformis"
"Alistipes_shahii","39.93914778032426","-0.492783494","interacts with","Alistipes_shahii (interacts with) Bacteroides_thetaiotaomicron","false","interacts with","Alistipes_shahii (interacts with) Bacteroides_thetaiotaomicron"
"Alistipes_shahii","9.367532467532467","0.921347134","interacts with","Alistipes_shahii (interacts with) Bacteroides_sartorii","false","interacts with","Alistipes_shahii (interacts with) Bacteroides_sartorii"
"Alistipes_shahii","12.720634920634918","0.945667314","interacts with","Alistipes_shahii (interacts with) Bacteroides_faecichinchillae","false","interacts with","Alistipes_shahii (interacts with) Bacteroides_faecichinchillae"
"Alistipes_shahii","14.146897546897542","0.485146192","interacts with","Alistipes_shahii (interacts with) Alistipes_indistinctus","false","interacts with","Alistipes_shahii (interacts with) Alistipes_indistinctus"
"Alistipes_indistinctus","26.092929292929288","0.438004484","interacts with","Alistipes_indistinctus (interacts with) Butyricimonas_virosa","false","interacts with","Alistipes_indistinctus (interacts with) Butyricimonas_virosa"
"Alistipes_indistinctus","25.72652151769799","-0.745299431","interacts with","Alistipes_indistinctus (interacts with) Bacteroides_thetaiotaomicron","false","interacts with","Alistipes_indistinctus (interacts with) Bacteroides_thetaiotaomicron"
"Alistipes_indistinctus","35.73593710211358","-0.460392851","interacts with","Alistipes_indistinctus (interacts with) Bacteroides_stercorirosoris","false","interacts with","Alistipes_indistinctus (interacts with) Bacteroides_stercorirosoris"
"Alistipes_indistinctus","18.926803751803757","0.475714255","interacts with","Alistipes_indistinctus (interacts with) Bacteroides_sartorii","false","interacts with","Alistipes_indistinctus (interacts with) Bacteroides_sartorii"
"Alistipes_indistinctus","40.197186147186144","0.42385947","interacts with","Alistipes_indistinctus (interacts with) Bacteroides_massiliensis","false","interacts with","Alistipes_indistinctus (interacts with) Bacteroides_massiliensis"
"Alistipes_indistinctus","16.64642857142857","0.426682907","interacts with","Alistipes_indistinctus (interacts with) Bacteroides_faecichinchillae","false","interacts with","Alistipes_indistinctus (interacts with) Bacteroides_faecichinchillae"
"Clostridium_cocleatum","34.134133350309824","-0.436397308","interacts with","Clostridium_cocleatum (interacts with) Enterorhabdus_caecimuris","false","interacts with","Clostridium_cocleatum (interacts with) Enterorhabdus_caecimuris"
"Clostridium_cocleatum","68.86093710211358","-0.471166221","interacts with","Clostridium_cocleatum (interacts with) Dorea_sp_5_2","false","interacts with","Clostridium_cocleatum (interacts with) Dorea_sp_5_2"
"Clostridium_cocleatum","15.633333333333331","-0.503375645","interacts with","Clostridium_cocleatum (interacts with) Butyricimonas_virosa","false","interacts with","Clostridium_cocleatum (interacts with) Butyricimonas_virosa"
"Clostridium_cocleatum","50.63488455988456","-0.422304226","interacts with","Clostridium_cocleatum (interacts with) Alistipes_indistinctus","false","interacts with","Clostridium_cocleatum (interacts with) Alistipes_indistinctus"
"Asaccharobacter_celatus","33.26190476190476","-0.41134594","interacts with","Asaccharobacter_celatus (interacts with) Bifidobacterium_animalis","false","interacts with","Asaccharobacter_celatus (interacts with) Bifidobacterium_animalis"
"Asaccharobacter_celatus","2.0","0.997775306","interacts with","Asaccharobacter_celatus (interacts with) Adlercreutzia_equolifaciens","false","interacts with","Asaccharobacter_celatus (interacts with) Adlercreutzia_equolifaciens"
"Parabacteroides_goldsteinii","22.859018759018753","0.620022247","interacts with","Parabacteroides_goldsteinii (interacts with) Parabacteroides_distasonis","false","interacts with","Parabacteroides_goldsteinii (interacts with) Parabacteroides_distasonis"
"Parabacteroides_goldsteinii","15.309595959595958","-0.610678532","interacts with","Parabacteroides_goldsteinii (interacts with) Bifidobacterium_animalis","false","interacts with","Parabacteroides_goldsteinii (interacts with) Bifidobacterium_animalis"
"Parabacteroides_goldsteinii","37.570707070707066","0.526486119","interacts with","Parabacteroides_goldsteinii (interacts with) Bacteroides_thetaiotaomicron","false","interacts with","Parabacteroides_goldsteinii (interacts with) Bacteroides_thetaiotaomicron"
"Parabacteroides_goldsteinii","39.88311688311688","0.565406571","interacts with","Parabacteroides_goldsteinii (interacts with) Bacteroides_stercorirosoris","false","interacts with","Parabacteroides_goldsteinii (interacts with) Bacteroides_stercorirosoris"
"Parabacteroides_goldsteinii","30.815151515151506","0.438042269","interacts with","Parabacteroides_goldsteinii (interacts with) Asaccharobacter_celatus","false","interacts with","Parabacteroides_goldsteinii (interacts with) Asaccharobacter_celatus"
"Parabacteroides_goldsteinii","16.75044563279857","0.580523184","interacts with","Parabacteroides_goldsteinii (interacts with) Alistipes_timonensis","false","interacts with","Parabacteroides_goldsteinii (interacts with) Alistipes_timonensis"
"Parabacteroides_goldsteinii","30.815151515151502","0.4567297","interacts with","Parabacteroides_goldsteinii (interacts with) Adlercreutzia_equolifaciens","false","interacts with","Parabacteroides_goldsteinii (interacts with) Adlercreutzia_equolifaciens"
"Helicobacter_cinaedi","28.122366522366523","-0.403518032","interacts with","Helicobacter_cinaedi (interacts with) Enterorhabdus_caecimuris","false","interacts with","Helicobacter_cinaedi (interacts with) Enterorhabdus_caecimuris"
"Helicobacter_cinaedi","51.35670995670995","0.402197634","interacts with","Helicobacter_cinaedi (interacts with) Bacteroides_sartorii","false","interacts with","Helicobacter_cinaedi (interacts with) Bacteroides_sartorii"
"Helicobacter_cinaedi","26.878066378066368","0.458663729","interacts with","Helicobacter_cinaedi (interacts with) Asaccharobacter_celatus","false","interacts with","Helicobacter_cinaedi (interacts with) Asaccharobacter_celatus"
"Helicobacter_cinaedi","26.878066378066364","0.444877305","interacts with","Helicobacter_cinaedi (interacts with) Adlercreutzia_equolifaciens","false","interacts with","Helicobacter_cinaedi (interacts with) Adlercreutzia_equolifaciens"
"Alistipes_timonensis","37.488540870893814","0.455648373","interacts with","Alistipes_timonensis (interacts with) Enterorhabdus_caecimuris","false","interacts with","Alistipes_timonensis (interacts with) Enterorhabdus_caecimuris"
"Alistipes_timonensis","25.122385620915022","-0.562047945","interacts with","Alistipes_timonensis (interacts with) Bifidobacterium_animalis","false","interacts with","Alistipes_timonensis (interacts with) Bifidobacterium_animalis"
"Alistipes_timonensis","25.327731092436977","0.435250991","interacts with","Alistipes_timonensis (interacts with) Bacteroides_thetaiotaomicron","false","interacts with","Alistipes_timonensis (interacts with) Bacteroides_thetaiotaomicron"
"Alistipes_timonensis","24.05581444699092","0.464108069","interacts with","Alistipes_timonensis (interacts with) Bacteroides_stercorirosoris","false","interacts with","Alistipes_timonensis (interacts with) Bacteroides_stercorirosoris"
"Alistipes_timonensis","16.93982683982684","0.59810805","interacts with","Alistipes_timonensis (interacts with) Bacteroides_caecimuris","false","interacts with","Alistipes_timonensis (interacts with) Bacteroides_caecimuris"
"Alistipes_timonensis","18.835973177149643","0.4053423","interacts with","Alistipes_timonensis (interacts with) Asaccharobacter_celatus","false","interacts with","Alistipes_timonensis (interacts with) Asaccharobacter_celatus"
"Alistipes_timonensis","18.835973177149643","0.411352317","interacts with","Alistipes_timonensis (interacts with) Adlercreutzia_equolifaciens","false","interacts with","Alistipes_timonensis (interacts with) Adlercreutzia_equolifaciens"
"Adlercreutzia_equolifaciens","33.26190476190475","-0.4189099","interacts with","Adlercreutzia_equolifaciens (interacts with) Bifidobacterium_animalis","false","interacts with","Adlercreutzia_equolifaciens (interacts with) Bifidobacterium_animalis"
"Lachnospiraceae_bacterium_3_2","38.11976911976911","0.49424355","interacts with","Lachnospiraceae_bacterium_3_2 (interacts with) Lactobacillus_taiwanensis","false","interacts with","Lachnospiraceae_bacterium_3_2 (interacts with) Lactobacillus_taiwanensis"
"Lachnospiraceae_bacterium_3_2","60.45668024785672","0.407805839","interacts with","Lachnospiraceae_bacterium_3_2 (interacts with) Lactobacillus_reuteri","false","interacts with","Lachnospiraceae_bacterium_3_2 (interacts with) Lactobacillus_reuteri"
"Lachnospiraceae_bacterium_3_2","73.90618792971733","0.440834202","interacts with","Lachnospiraceae_bacterium_3_2 (interacts with) Clostridium_sp_ASF356","false","interacts with","Lachnospiraceae_bacterium_3_2 (interacts with) Clostridium_sp_ASF356"
"Lachnospiraceae_bacterium_3_2","40.10191834309482","-0.455360679","interacts with","Lachnospiraceae_bacterium_3_2 (interacts with) Asaccharobacter_celatus","false","interacts with","Lachnospiraceae_bacterium_3_2 (interacts with) Asaccharobacter_celatus"
"Lachnospiraceae_bacterium_3_2","40.10191834309482","-0.464954433","interacts with","Lachnospiraceae_bacterium_3_2 (interacts with) Adlercreutzia_equolifaciens","false","interacts with","Lachnospiraceae_bacterium_3_2 (interacts with) Adlercreutzia_equolifaciens"
