row	col	val1
Bifidobacterium_pseudolongum	Bifidobacterium_animalis	0.648693532
Corynebacterium_mastitidis	Bifidobacterium_animalis	NA
Corynebacterium_stationis	Bifidobacterium_animalis	NA
Adlercreutzia_equolifaciens	Bifidobacterium_animalis	0.886897758
Asaccharobacter_celatus	Bifidobacterium_animalis	0.982606572
Enterorhabdus_caecimuris	Bifidobacterium_animalis	0.026547797
Bacteroides_caecimuris	Bifidobacterium_animalis	0.551071235
Bacteroides_dorei	Bifidobacterium_animalis	0.114645385
Bacteroides_faecichinchillae	Bifidobacterium_animalis	0.723502134
Bacteroides_intestinalis	Bifidobacterium_animalis	NA
Bacteroides_massiliensis	Bifidobacterium_animalis	NA
Bacteroides_ovatus	Bifidobacterium_animalis	0.5798703
Bacteroides_sartorii	Bifidobacterium_animalis	0.079476125
Bacteroides_stercorirosoris	Bifidobacterium_animalis	NA
Bacteroides_thetaiotaomicron	Bifidobacterium_animalis	0.216047498
Bacteroides_uniformis	Bifidobacterium_animalis	0.82031651
Bacteroides_vulgatus	Bifidobacterium_animalis	0.204273943
Bacteroides_xylanisolvens	Bifidobacterium_animalis	0.123333792
Muribaculaceae_bacterium_DSM_103720	Bifidobacterium_animalis	0.262623889
Muribaculum_intestinale	Bifidobacterium_animalis	NA
Butyricimonas_virosa	Bifidobacterium_animalis	NA
Prevotella_sp_MGM2	Bifidobacterium_animalis	0.151554231
Alistipes_indistinctus	Bifidobacterium_animalis	0.145153052
Alistipes_shahii	Bifidobacterium_animalis	0.007169496
Alistipes_timonensis	Bifidobacterium_animalis	NA
Parabacteroides_distasonis	Bifidobacterium_animalis	0.971652569
Parabacteroides_goldsteinii	Bifidobacterium_animalis	0.001501331
Parabacteroides_johnsonii	Bifidobacterium_animalis	NA
Parabacteroides_merdae	Bifidobacterium_animalis	NA
Mucispirillum_schaedleri	Bifidobacterium_animalis	0.104934659
Jeotgalicoccus_halotolerans	Bifidobacterium_animalis	NA
Staphylococcus_aureus	Bifidobacterium_animalis	NA
Staphylococcus_lentus	Bifidobacterium_animalis	0.703001813
Staphylococcus_nepalensis	Bifidobacterium_animalis	0.703001813
Staphylococcus_sciuri	Bifidobacterium_animalis	0.124454794
Staphylococcus_vitulinus	Bifidobacterium_animalis	0.703001813
Staphylococcus_xylosus	Bifidobacterium_animalis	NA
Aerococcaceae_bacterium	Bifidobacterium_animalis	NA
Enterococcus_faecalis	Bifidobacterium_animalis	NA
Enterococcus_gallinarum	Bifidobacterium_animalis	NA
Enterococcus_hirae	Bifidobacterium_animalis	NA
Lactobacillus_intestinalis	Bifidobacterium_animalis	NA
Lactobacillus_johnsonii	Bifidobacterium_animalis	0.583452553
Lactobacillus_murinus	Bifidobacterium_animalis	0.47521983
Lactobacillus_reuteri	Bifidobacterium_animalis	0.606883528
Lactobacillus_taiwanensis	Bifidobacterium_animalis	NA
Streptococcus_acidominimus	Bifidobacterium_animalis	NA
Clostridium_sp_ASF356	Bifidobacterium_animalis	0.992049634
Clostridium_sp_ASF502	Bifidobacterium_animalis	0.051564128
Eubacterium_plexicaudatum	Bifidobacterium_animalis	0.942260566
Eubacterium_sp_14_2	Bifidobacterium_animalis	0.709898472
Acetatifactor_muris	Bifidobacterium_animalis	0.262181337
Dorea_sp_5_2	Bifidobacterium_animalis	0.944910472
Clostridium_symbiosum	Bifidobacterium_animalis	NA
Eubacterium_rectale	Bifidobacterium_animalis	NA
Lachnospiraceae_bacterium_10_1	Bifidobacterium_animalis	NA
Lachnospiraceae_bacterium_28_4	Bifidobacterium_animalis	0.4532112
Lachnospiraceae_bacterium_3_1	Bifidobacterium_animalis	0.798421946
Lachnospiraceae_bacterium_3_2	Bifidobacterium_animalis	0.806539699
Lachnospiraceae_bacterium_A2	Bifidobacterium_animalis	0.194349854
Lachnospiraceae_bacterium_A4	Bifidobacterium_animalis	0.940196551
Lachnospiraceae_bacterium_COE1	Bifidobacterium_animalis	0.127807767
Lachnospiraceae_bacterium_M18_1	Bifidobacterium_animalis	0.801918345
Oscillibacter_sp_1_3	Bifidobacterium_animalis	0.140913755
Romboutsia_ilealis	Bifidobacterium_animalis	NA
Acutalibacter_muris	Bifidobacterium_animalis	0.000981835
Anaerotruncus_sp_G3_2012	Bifidobacterium_animalis	0.142233071
Ruthenibacterium_lactatiformans	Bifidobacterium_animalis	0.703001813
Clostridium_cocleatum	Bifidobacterium_animalis	0.582869739
Clostridium_innocuum	Bifidobacterium_animalis	NA
Faecalibaculum_rodentium	Bifidobacterium_animalis	0.060947624
Ileibacterium_valens	Bifidobacterium_animalis	NA
Firmicutes_bacterium_ASF500	Bifidobacterium_animalis	0.99132707
Parasutterella_excrementihominis	Bifidobacterium_animalis	0.582869739
Turicimonas_muris	Bifidobacterium_animalis	NA
Desulfovibrionaceae_bacterium	Bifidobacterium_animalis	NA
Helicobacter_apodemus	Bifidobacterium_animalis	NA
Helicobacter_cinaedi	Bifidobacterium_animalis	NA
Helicobacter_ganmani	Bifidobacterium_animalis	0.971652569
Helicobacter_hepaticus	Bifidobacterium_animalis	0.812227813
Helicobacter_magdeburgensis	Bifidobacterium_animalis	NA
Helicobacter_typhlonius	Bifidobacterium_animalis	0.767960307
Enterobacter_cloacae_complex	Bifidobacterium_animalis	NA
Escherichia_coli	Bifidobacterium_animalis	0.989856761
Proteus_hauseri	Bifidobacterium_animalis	NA
Proteus_mirabilis	Bifidobacterium_animalis	0.703001813
Acinetobacter_baumannii	Bifidobacterium_animalis	NA
Proteobacteria_bacterium_CAG_139	Bifidobacterium_animalis	NA
Akkermansia_muciniphila	Bifidobacterium_animalis	0.459475819
Corynebacterium_mastitidis	Bifidobacterium_pseudolongum	NA
Corynebacterium_stationis	Bifidobacterium_pseudolongum	NA
Adlercreutzia_equolifaciens	Bifidobacterium_pseudolongum	0.001209689
Asaccharobacter_celatus	Bifidobacterium_pseudolongum	0.00049628
Enterorhabdus_caecimuris	Bifidobacterium_pseudolongum	0.539650931
Bacteroides_caecimuris	Bifidobacterium_pseudolongum	0.019381675
Bacteroides_dorei	Bifidobacterium_pseudolongum	0.064532638
